Time (s),Accelerometer - X (g),Accelerometer - Y (g),Accelerometer - Z (g),Accelerometer - Total (g)
0.00,-0.02,-0.03,1.01,0.03
0.14,-0.02,-0.03,1.00,0.03
0.32,-0.02,-0.03,1.00,0.04
0.46,-0.02,-0.03,1.00,0.04
0.62,-0.02,-0.03,1.01,0.03
0.79,-0.02,-0.21,0.90,0.21
0.94,0.03,-0.94,0.55,0.94
1.10,-0.10,-0.55,1.19,0.55
1.26,-0.25,-0.66,0.76,0.71
1.42,-0.70,-0.73,0.57,1.01
1.57,-0.24,-0.70,0.82,0.74
1.73,0.17,-1.12,-0.12,1.14
1.89,0.26,-0.01,0.06,0.26
2.05,-0.79,-0.12,1.72,0.80
2.20,-0.20,-0.30,1.06,0.36
2.36,0.17,0.47,0.09,0.50
2.52,0.08,-0.17,-0.20,0.18
2.69,0.30,-0.95,-0.59,1.00
2.83,0.24,-0.51,0.70,0.56
2.99,-0.15,-0.02,0.92,0.15
3.15,-0.36,-0.20,0.91,0.41
3.32,-0.06,-0.29,0.91,0.29
3.47,0.30,-0.14,0.96,0.33
3.63,0.14,-0.04,0.98,0.15
3.79,-0.21,0.03,0.98,0.22
3.95,-0.28,-0.08,0.96,0.29
4.12,0.02,-0.12,1.00,0.13
4.26,0.22,-0.13,0.96,0.26
4.43,0.07,-0.08,1.00,0.11
4.59,-0.16,-0.06,1.00,0.17
4.75,-0.16,-0.08,1.35,0.18
4.89,0.11,-0.72,0.59,0.73
5.06,0.02,-0.49,0.87,0.49
5.22,-0.07,-0.64,0.74,0.65
5.38,-0.06,-0.96,0.64,0.96
5.53,0.19,-0.91,0.82,0.93
5.69,-0.88,-0.48,1.20,1.01
5.85,-0.04,0.76,0.35,0.76
6.00,0.49,0.92,0.59,1.04
6.16,0.17,0.66,0.34,0.68
6.33,-0.04,0.83,0.66,0.83
6.48,-0.04,0.89,0.86,0.90
6.64,-0.24,0.65,0.97,0.69
6.79,-0.04,0.22,1.01,0.22
6.95,0.16,-0.03,0.98,0.17
7.12,0.08,0.00,1.02,0.08
7.26,0.15,-0.14,0.97,0.21
7.42,0.04,-0.07,1.01,0.08
7.58,0.08,-0.16,0.98,0.17
7.74,0.12,-0.14,0.97,0.19
7.90,0.06,-0.11,0.99,0.13
8.05,0.10,-0.12,0.99,0.16
8.21,0.08,-0.13,1.00,0.15
8.39,0.08,-0.13,0.99,0.15
8.53,0.08,-0.12,0.99,0.15
8.69,0.08,-0.12,0.99,0.15
8.84,0.08,-0.13,0.99,0.15
9.00,0.08,-0.13,0.99,0.15
9.16,0.08,-0.13,0.98,0.15
9.32,0.08,-0.13,0.99,0.16
