Time (s),Distance - X ,Distance - Y ,Distance - Total 
0.00,0.00,0.00,0.00
0.14,0.00,0.01,0.01
0.32,0.00,0.02,0.02
0.46,0.00,0.02,0.02
0.62,0.00,0.03,0.03
0.79,0.00,1.26,1.26
0.94,0.02,7.11,7.11
1.10,0.03,9.33,9.33
1.26,0.09,16.26,16.26
1.42,0.13,26.30,26.30
1.57,0.34,37.88,37.88
1.73,0.41,53.10,53.11
1.89,0.61,69.77,69.78
2.05,0.74,88.12,88.12
2.20,0.87,106.65,106.66
2.36,0.98,126.53,126.53
2.52,1.25,149.14,149.15
2.69,2.12,151.61,151.76
2.83,4.37,156.73,157.36
2.99,4.88,156.81,157.88
3.15,4.97,158.28,159.34
3.32,5.18,158.51,159.65
3.47,5.47,159.09,160.30
3.63,5.49,159.55,160.76
3.79,5.50,159.72,160.94
3.95,5.50,159.96,161.18
4.12,5.56,160.12,161.35
4.26,5.63,160.12,161.41
4.43,5.64,160.27,161.56
4.59,5.68,160.32,161.63
4.75,5.78,160.43,161.78
4.89,9.72,160.81,165.74
5.06,12.52,160.82,168.54
5.22,18.28,161.03,174.30
5.38,28.42,161.28,184.44
5.53,40.17,161.50,196.19
5.69,54.14,161.81,210.17
5.85,61.90,161.93,217.93
6.00,69.98,162.34,226.02
6.16,80.59,163.32,236.67
6.33,88.30,163.62,244.39
6.48,93.79,163.81,249.88
6.64,98.08,164.02,254.17
6.79,100.76,164.06,256.86
6.95,102.32,164.08,258.42
7.12,103.02,164.09,259.12
7.26,103.60,164.11,259.70
7.42,103.72,164.12,259.82
7.58,103.92,164.12,260.02
7.74,103.93,164.13,260.03
7.90,103.97,164.13,260.07
8.05,104.01,164.13,260.11
8.21,104.05,164.13,260.15
8.39,104.07,164.13,260.17
8.53,104.10,164.14,260.20
8.69,104.12,164.14,260.22
8.84,104.14,164.14,260.24
9.00,104.16,164.14,260.26
9.16,104.18,164.14,260.28
9.32,104.19,164.14,260.29
