Time (s),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s)
0.00,-0.08,0.07,0.00
0.14,-0.02,-0.06,0.00
0.32,-0.08,-0.24,0.00
0.46,0.04,-0.06,0.00
0.62,-0.08,-0.05,0.00
0.79,-282.52,-0.04,-5.50
0.94,-12.34,2.09,0.00
1.10,121.40,3.24,0.00
1.26,-63.24,-8.82,-1.29
1.42,32.56,-4.01,-14.05
1.57,-10.58,2.07,12.55
1.73,-115.06,-10.01,-14.32
1.89,126.60,-7.53,2.05
2.05,221.85,7.00,21.02
2.20,76.69,-7.42,5.14
2.36,48.49,14.67,-8.26
2.52,-1641.61,-181.60,-7.92
2.69,370.56,-14.78,-53.92
2.83,408.51,125.43,20.58
2.99,130.75,130.89,21.30
3.15,-60.24,-14.89,-35.49
3.32,46.77,-111.07,-31.37
3.47,77.85,-48.83,-2.55
3.63,36.67,87.31,11.11
3.79,-10.55,86.14,3.59
3.95,-23.10,-39.61,-12.85
4.12,-13.28,-85.23,-15.07
4.26,12.68,-10.87,0.00
4.43,0.90,64.41,10.18
4.59,5.13,47.61,5.77
4.75,64.55,15.20,-512.81
4.89,-295.34,18.11,-12.91
5.06,105.68,29.99,2.07
5.22,-43.90,16.94,-4.89
5.38,-68.28,4.08,4.80
5.53,37.13,-7.89,-11.79
5.69,81.27,3.17,7.39
5.85,458.44,-27.60,5.47
6.00,212.26,-33.41,-5.61
6.16,-83.08,10.18,21.23
6.33,-32.55,33.45,2.73
6.48,-108.84,34.91,-11.51
6.64,-112.79,0.35,-10.06
6.79,-86.76,-62.48,1.94
6.95,-33.84,-25.16,0.00
7.12,-11.03,14.46,7.23
7.26,-21.95,-4.68,1.29
7.42,-4.51,15.40,2.46
7.58,8.92,4.77,0.00
7.74,7.17,-2.29,-0.95
7.90,-1.28,4.16,0.84
8.05,0.28,-1.09,0.00
8.21,0.10,-0.36,0.00
8.39,-0.26,0.31,0.00
8.53,-0.02,-0.05,0.00
8.69,0.04,-0.36,0.00
8.84,-0.08,0.01,0.00
9.00,-0.02,-0.24,0.00
9.16,-0.02,-0.12,0.00
9.32,-0.08,0.19,0.00
