Time (s),Location - X (cm),Location - Y (cm)
0.00,0.00,0.00
0.14,0.00,-0.01
0.32,0.00,-0.02
0.46,0.00,-0.03
0.62,0.00,-0.03
0.79,0.00,1.20
0.94,0.02,7.05
1.10,0.03,9.27
1.26,0.09,16.19
1.42,0.05,26.23
1.57,0.26,37.81
1.73,0.33,53.04
1.89,0.53,69.71
2.05,0.66,88.06
2.20,0.79,106.59
2.36,0.90,126.46
2.52,0.64,149.07
2.69,-0.23,151.54
2.83,2.02,146.41
2.99,2.53,146.33
3.15,2.44,147.80
3.32,2.23,148.02
3.47,1.94,147.44
3.63,1.92,146.98
3.79,1.91,146.81
3.95,1.90,147.05
4.12,1.85,147.21
4.26,1.78,147.21
4.43,1.80,147.07
4.59,1.84,147.01
4.75,1.74,147.12
4.89,5.68,147.50
5.06,8.48,147.49
5.22,14.24,147.28
5.38,24.38,147.03
5.53,36.13,146.81
5.69,50.10,146.50
5.85,57.86,146.38
6.00,65.94,145.97
6.16,76.55,144.99
6.33,84.26,144.69
6.48,89.75,144.88
6.64,94.04,145.09
6.79,96.72,145.05
6.95,98.28,145.03
7.12,98.98,145.04
7.26,99.56,145.06
7.42,99.68,145.05
7.58,99.88,145.06
7.74,99.87,145.06
7.90,99.91,145.06
8.05,99.95,145.06
8.21,99.98,145.06
8.39,100.01,145.06
8.53,100.04,145.06
8.69,100.06,145.06
8.84,100.08,145.06
9.00,100.10,145.07
9.16,100.12,145.07
9.32,100.13,145.07
