Time (s),Distance - X ,Distance - Y ,Distance - Total 
0.00,0.00,0.00,0.00
0.16,0.01,0.14,0.14
0.32,0.01,0.23,0.23
0.48,0.01,0.29,0.29
0.64,0.02,0.33,0.33
0.80,0.02,0.37,0.37
0.96,0.31,0.89,0.97
1.12,2.33,1.10,3.00
1.28,4.99,1.48,5.69
1.44,7.00,1.92,7.74
1.60,13.65,2.43,14.42
1.75,22.94,3.13,23.73
1.91,33.75,4.15,34.58
2.07,46.03,4.92,46.89
2.23,58.27,6.71,59.26
2.38,61.93,7.18,62.95
2.54,63.50,7.71,64.60
2.70,65.69,7.87,66.80
2.86,76.26,7.92,77.37
3.01,87.68,8.82,88.82
3.17,100.35,9.85,101.54
3.33,111.47,12.22,112.91
3.50,124.62,13.12,126.09
3.64,138.61,14.65,140.16
3.81,153.29,16.94,155.02
3.97,167.53,19.16,169.43
4.13,176.41,21.68,178.66
4.29,187.84,26.80,191.19
4.45,194.51,28.44,198.06
4.62,202.04,30.34,205.82
4.77,210.99,31.66,214.87
4.93,216.84,38.83,224.12
5.08,218.97,45.96,231.56
5.25,220.24,54.43,240.12
5.40,221.43,64.89,250.65
5.56,222.57,76.98,262.80
5.71,223.86,90.50,276.37
5.87,225.26,105.27,291.21
6.03,226.33,120.66,306.64
6.20,226.77,136.36,322.34
6.36,227.04,151.51,337.50
6.51,227.06,166.47,352.46
6.67,227.08,180.94,366.93
6.82,227.14,195.08,381.07
6.98,227.36,209.09,395.08
7.13,227.68,223.08,409.08
7.29,229.93,235.40,421.60
7.46,237.79,235.53,429.47
7.63,242.19,252.17,446.68
7.78,243.49,257.34,452.01
7.93,244.81,261.28,456.17
8.10,244.86,262.11,457.00
8.27,246.21,265.59,460.73
8.40,247.36,267.36,462.85
8.57,247.79,268.96,464.51
8.74,255.82,270.75,472.73
8.89,264.10,274.34,481.75
9.04,264.68,275.25,482.84
9.20,264.85,275.42,483.08
9.36,265.71,276.54,484.49
9.51,266.40,277.23,485.46
9.67,266.70,277.77,486.08
9.82,267.02,278.99,487.35
9.99,267.07,279.37,487.73
10.13,267.16,279.66,488.03
10.30,268.44,279.88,489.33
10.47,270.01,280.87,491.18
10.64,270.17,281.26,491.61
10.78,274.22,283.21,496.10
10.93,282.37,285.84,504.66
11.10,293.65,288.62,516.29
11.25,302.68,290.21,525.45
11.41,310.12,293.42,533.56
11.57,320.26,295.78,543.97
11.74,329.02,295.94,552.73
11.90,335.49,296.14,559.21
12.06,336.82,296.49,560.58
12.22,338.45,303.91,568.17
12.38,338.52,308.38,572.64
12.53,339.08,315.69,579.97
12.69,339.48,323.04,587.34
12.85,339.52,336.07,600.36
13.00,340.42,348.38,612.70
13.16,340.86,363.12,627.46
13.32,341.34,377.91,642.25
13.48,341.62,393.26,657.60
13.63,341.75,408.59,672.94
13.79,341.76,423.36,687.71
13.95,341.83,438.95,703.29
14.11,343.16,450.57,714.99
14.27,343.56,462.40,726.82
14.42,343.68,476.37,740.79
14.58,344.56,490.27,754.73
14.75,345.17,500.83,765.30
14.90,346.96,509.77,774.42
15.06,348.25,520.51,785.24
15.23,348.53,527.11,791.84
15.38,350.94,535.61,800.68
15.53,351.46,536.76,801.94
15.69,353.09,538.28,804.17
15.86,359.09,538.95,810.21
16.02,367.51,539.77,818.67
16.16,377.52,541.20,828.78
16.32,389.75,542.89,841.12
16.48,403.00,544.20,854.44
16.65,418.12,545.89,869.65
16.82,433.84,547.04,885.41
16.96,449.80,548.03,901.41
17.12,462.46,548.71,914.08
17.28,466.52,552.23,919.45
17.44,472.57,553.30,925.60
17.59,479.48,553.67,932.52
17.76,486.86,556.55,940.44
17.92,490.60,557.97,944.44
18.08,491.93,559.32,946.34
18.25,499.38,560.39,953.86
18.41,499.49,561.15,954.63
18.56,500.00,561.47,955.23
18.72,500.82,561.56,956.06
18.88,501.15,561.73,956.43
19.03,504.49,564.85,961.00
19.19,504.80,565.35,961.59
19.35,504.88,565.36,961.67
19.51,504.93,565.38,961.72
19.66,504.97,565.40,961.76
19.82,504.99,565.42,961.79
19.99,505.02,565.43,961.82
20.14,505.03,565.44,961.83
20.31,505.04,565.46,961.86
20.46,505.06,565.47,961.87
20.63,505.06,565.47,961.88
20.78,505.07,565.48,961.89
20.93,505.08,565.49,961.91
21.09,505.09,565.51,961.93
21.26,505.09,565.51,961.93
21.41,505.09,565.52,961.94
21.56,505.10,565.52,961.94
21.72,505.10,565.53,961.95
21.89,505.45,566.21,962.72
22.04,505.93,567.57,964.16
22.21,506.32,569.50,966.13
22.35,506.32,570.66,967.29
22.52,506.72,571.04,967.84
22.68,509.83,572.99,971.51
22.82,515.47,574.44,977.34
22.98,520.80,575.89,982.86
23.14,527.21,576.13,989.27
23.30,537.99,576.38,1000.06
23.45,550.19,576.91,1012.27
23.64,558.30,578.97,1020.64
23.78,565.97,579.49,1028.32
23.94,574.38,580.26,1036.77
24.08,588.30,583.12,1050.98
24.24,600.97,585.64,1063.90
24.41,615.27,589.17,1078.62
24.56,629.58,592.48,1093.31
24.71,644.83,596.25,1109.02
24.87,660.60,599.51,1125.13
25.03,675.74,602.39,1140.54
25.20,691.17,605.05,1156.19
25.36,706.30,606.64,1171.41
25.51,708.37,608.01,1173.89
25.67,713.81,609.14,1179.44
25.84,717.54,610.57,1183.44
25.99,717.94,611.26,1184.23
26.15,720.57,611.97,1186.96
26.31,722.26,612.35,1188.69
26.47,723.33,615.37,1191.90
26.63,724.68,620.40,1197.10
26.78,726.52,628.54,1205.45
26.94,728.16,637.71,1214.76
27.10,730.05,649.89,1227.09
27.26,731.87,663.12,1240.45
27.41,733.99,677.52,1255.00
27.57,735.90,692.55,1270.16
27.74,738.11,709.26,1287.01
27.90,739.33,724.51,1302.31
28.05,740.03,740.73,1318.54
28.21,740.32,755.67,1333.48
28.37,740.35,770.03,1347.84
28.53,740.41,784.21,1362.02
28.70,742.27,795.08,1373.05
28.85,742.55,797.01,1375.00
29.01,743.82,797.58,1376.39
29.17,744.07,797.81,1376.73
29.33,744.80,799.13,1378.24
29.48,745.97,801.54,1380.92
29.66,748.95,808.49,1388.48
29.80,751.60,810.49,1391.80
29.97,754.74,811.12,1395.00
30.11,763.23,812.25,1403.56
30.28,772.60,812.75,1412.95
30.43,784.36,813.83,1424.76
30.59,796.98,813.85,1437.38
30.74,811.72,814.29,1452.12
30.90,825.96,814.31,1466.36
31.06,841.32,814.37,1481.73
31.22,856.01,814.37,1496.41
31.37,870.31,814.54,1510.72
31.53,874.69,817.13,1515.81
31.69,877.58,825.54,1524.70
31.85,890.03,828.49,1537.50
32.00,892.77,829.28,1540.35
32.17,893.18,829.57,1540.85
32.35,895.22,831.08,1543.38
32.51,895.55,832.97,1545.30
32.66,898.08,833.59,1547.91
32.81,898.78,833.61,1548.61
32.97,900.08,833.96,1549.95
33.14,900.64,834.23,1550.57
33.30,903.95,836.82,1554.77
33.46,905.36,839.56,1557.86
33.61,905.84,844.93,1563.26
33.77,906.07,851.66,1569.99
33.93,906.93,860.27,1578.64
34.08,910.61,865.60,1585.12
34.24,911.27,868.06,1587.66
34.40,911.34,871.72,1591.33
34.56,913.47,880.25,1600.12
34.73,919.22,893.72,1614.76
34.87,922.69,906.02,1627.54
35.03,927.31,919.09,1641.40
35.19,931.11,933.73,1656.53
35.34,935.44,948.67,1672.08
35.50,939.98,963.63,1687.72
35.66,944.02,978.47,1703.10
35.82,947.25,992.94,1717.92
35.97,949.98,1007.14,1732.38
36.14,953.29,1016.05,1741.89
36.29,957.12,1020.73,1747.93
36.46,959.05,1025.66,1753.23
36.64,959.23,1026.69,1754.28
36.77,962.50,1028.82,1758.18
36.94,968.75,1029.09,1764.43
37.09,970.32,1031.07,1766.95
37.25,973.88,1031.84,1770.61
37.40,984.10,1034.32,1781.12
37.56,993.16,1036.54,1790.44
37.72,1004.39,1037.90,1801.76
37.88,1008.76,1038.18,1806.14
38.05,1013.70,1038.49,1811.09
38.20,1025.71,1039.19,1823.12
38.36,1037.40,1040.89,1834.93
38.52,1053.99,1042.67,1851.62
38.67,1054.05,1042.92,1851.88
38.83,1054.88,1043.38,1852.83
38.99,1056.76,1043.96,1854.79
39.16,1060.09,1045.25,1858.37
39.30,1064.01,1046.00,1862.35
39.47,1066.63,1046.05,1864.98
39.64,1067.07,1046.35,1865.50
39.79,1067.13,1046.77,1865.93
39.95,1068.69,1047.26,1867.57
40.09,1068.70,1047.32,1867.63
40.26,1069.06,1047.48,1868.02
40.42,1069.17,1047.59,1868.18
40.58,1069.51,1047.60,1868.52
40.73,1069.83,1047.88,1868.95
40.89,1070.23,1051.01,1872.10
41.06,1070.43,1056.16,1877.25
41.21,1070.88,1059.47,1880.60
41.39,1071.07,1068.36,1889.48
41.53,1071.26,1078.47,1899.60
41.69,1071.65,1091.16,1912.29
41.85,1071.93,1101.02,1922.16
42.00,1072.38,1109.61,1930.77
42.16,1073.39,1120.49,1941.69
42.32,1073.67,1129.14,1950.34
42.49,1073.97,1134.64,1955.85
42.65,1074.16,1139.05,1960.27
42.80,1074.24,1141.89,1963.11
42.96,1074.26,1143.34,1964.55
43.12,1074.27,1143.58,1964.80
43.28,1074.31,1144.51,1965.72
43.43,1076.63,1148.09,1969.99
43.59,1079.87,1148.93,1973.34
43.75,1082.59,1150.01,1976.27
43.92,1088.83,1150.22,1982.51
44.07,1097.76,1150.40,1991.44
44.23,1109.51,1150.70,2003.19
44.39,1122.00,1151.32,2015.70
44.55,1135.99,1151.81,2029.70
44.70,1150.53,1152.43,2044.25
44.85,1165.86,1152.79,2059.58
45.01,1181.67,1153.18,2075.40
45.17,1196.37,1153.34,2090.10
45.32,1211.04,1153.39,2104.77
45.48,1225.75,1153.43,2119.48
45.65,1240.15,1153.48,2133.88
45.80,1246.39,1155.73,2140.52
45.95,1247.27,1161.13,2145.98
46.11,1260.00,1163.79,2158.99
46.27,1264.68,1165.23,2163.88
46.44,1266.01,1165.42,2165.22
46.59,1266.28,1165.95,2165.81
46.74,1268.07,1166.07,2167.61
46.91,1269.27,1166.36,2168.84
47.08,1269.74,1166.43,2169.32
47.22,1269.86,1166.44,2169.44
47.38,1270.07,1166.47,2169.65
47.55,1270.15,1166.48,2169.73
47.71,1270.21,1166.49,2169.79
47.86,1270.33,1166.51,2169.92
48.02,1270.86,1168.19,2171.68
48.18,1271.04,1171.34,2174.83
48.34,1271.80,1174.73,2178.31
48.50,1272.40,1180.47,2184.08
48.66,1272.97,1188.59,2192.22
48.81,1274.04,1198.84,2202.52
48.98,1275.38,1211.23,2214.99
49.12,1275.87,1219.76,2223.54
49.29,1277.74,1228.07,2232.05
49.45,1279.61,1238.49,2242.64
49.60,1280.03,1244.87,2249.03
49.76,1281.03,1250.48,2254.73
49.92,1281.06,1254.26,2258.51
50.08,1282.19,1260.63,2264.98
50.24,1285.46,1265.62,2270.94
50.40,1292.25,1267.15,2277.90
50.57,1300.33,1267.23,2285.99
50.72,1308.18,1267.88,2293.86
50.88,1318.43,1268.68,2304.14
51.04,1332.32,1269.54,2318.05
51.19,1346.85,1270.09,2332.60
51.36,1361.95,1270.12,2347.70
51.51,1369.22,1271.93,2355.19
51.67,1369.89,1274.47,2357.81
51.83,1373.32,1286.21,2370.04
51.98,1376.74,1287.14,2373.58
52.14,1378.77,1287.55,2375.66
52.30,1381.81,1288.39,2378.81
52.46,1385.90,1289.67,2383.10
52.63,1387.58,1290.09,2384.83
52.79,1389.23,1290.42,2386.51
52.93,1390.15,1290.61,2387.45
53.08,1391.37,1290.87,2388.69
53.24,1391.55,1290.91,2388.88
53.40,1392.37,1291.02,2389.70
53.57,1392.49,1291.08,2389.84
53.72,1393.10,1293.68,2392.51
53.89,1393.47,1296.91,2395.76
54.04,1393.90,1298.45,2397.36
54.20,1394.97,1307.29,2406.26
54.36,1396.23,1311.72,2410.87
54.51,1396.52,1313.80,2412.97
54.67,1396.96,1323.29,2422.47
54.84,1397.41,1332.05,2431.24
55.00,1397.85,1337.91,2437.12
55.16,1398.55,1344.22,2443.47
55.31,1398.82,1350.47,2449.73
55.47,1399.14,1354.31,2453.58
55.64,1399.29,1357.01,2456.28
55.78,1399.39,1358.33,2457.60
55.94,1399.43,1359.28,2458.55
56.13,1399.47,1359.72,2459.00
56.27,1399.48,1360.11,2459.39
56.43,1399.51,1360.43,2459.71
56.59,1399.54,1360.93,2460.21
56.74,1399.92,1361.75,2461.12
56.91,1402.20,1362.01,2463.41
57.07,1405.60,1362.41,2466.84
57.23,1410.68,1362.92,2471.94
57.37,1418.37,1362.96,2479.63
57.53,1429.27,1363.01,2490.53
57.69,1440.81,1363.46,2502.09
57.84,1454.53,1363.75,2515.81
58.01,1469.10,1364.13,2530.38
58.16,1484.49,1364.42,2545.78
58.32,1499.69,1364.54,2560.97
58.47,1514.94,1364.68,2576.22
58.63,1529.60,1364.70,2590.89
58.79,1544.26,1364.71,2605.55
58.96,1558.01,1367.49,2619.57
59.11,1559.07,1370.40,2622.67
59.27,1561.58,1373.14,2626.39
59.43,1569.59,1376.83,2635.20
59.59,1574.42,1378.88,2640.45
59.76,1574.44,1379.12,2640.69
59.91,1575.70,1379.24,2641.96
60.06,1576.03,1379.46,2642.35
60.22,1577.06,1379.62,2643.40
60.37,1577.21,1379.64,2643.56
60.53,1577.35,1379.65,2643.69
60.69,1578.02,1379.79,2644.38
60.85,1578.24,1379.89,2644.62
61.01,1578.66,1379.94,2645.04
61.16,1578.93,1380.88,2646.02
61.32,1579.61,1384.31,2649.52
61.48,1580.57,1384.56,2650.51
61.64,1581.18,1389.56,2655.54
61.79,1581.52,1396.60,2662.60
61.95,1581.78,1406.53,2672.52
62.11,1582.99,1417.51,2683.57
62.26,1583.34,1426.47,2692.54
62.42,1584.82,1435.01,2701.21
62.58,1587.74,1436.78,2704.62
62.75,1589.20,1438.17,2706.64
62.91,1590.44,1438.37,2707.89
63.06,1590.64,1438.75,2708.32
63.23,1591.74,1442.78,2712.50
63.38,1592.93,1445.64,2715.60
63.54,1593.12,1447.18,2717.15
63.70,1593.40,1447.84,2717.86
63.85,1593.92,1448.88,2719.02
64.01,1594.03,1450.39,2720.54
64.17,1594.08,1450.87,2721.02
64.32,1594.11,1451.01,2721.17
64.48,1594.15,1451.17,2721.33
64.64,1594.27,1451.87,2722.05
64.80,1595.60,1452.17,2723.41
64.96,1597.60,1452.24,2725.41
65.11,1601.23,1452.78,2729.08
