Time (s),Location - X (cm),Location - Y (cm)
0.00,0.00,0.21
0.16,0.01,0.35
0.32,0.01,0.44
0.48,0.02,0.50
0.64,0.02,0.54
0.80,0.02,0.57
0.96,0.31,1.10
1.12,2.33,1.31
1.28,4.99,0.92
1.44,7.00,0.48
1.60,13.65,-0.03
1.75,22.94,-0.72
1.91,33.75,-1.75
2.07,46.03,-2.52
2.23,58.27,-4.30
2.38,61.93,-4.78
2.54,63.50,-4.26
2.70,65.69,-4.09
2.86,76.26,-4.04
3.01,87.68,-3.14
3.17,100.35,-2.11
3.33,111.47,0.26
3.50,124.62,1.15
3.64,138.61,2.69
3.81,153.29,4.98
3.97,167.53,7.20
4.13,176.41,9.72
4.29,187.84,14.84
4.45,194.51,16.48
4.62,202.04,18.38
4.77,210.99,17.06
4.93,216.84,9.89
5.08,218.97,2.76
5.25,220.24,-5.71
5.40,221.43,-16.17
5.56,222.57,-28.26
5.71,223.86,-41.78
5.87,225.26,-56.55
6.03,226.33,-71.94
6.20,226.77,-87.64
6.36,227.04,-102.79
6.51,227.06,-117.76
6.67,227.05,-132.22
6.82,227.10,-146.36
6.98,227.33,-160.37
7.13,227.64,-174.36
7.29,229.89,-186.68
7.46,222.02,-186.56
7.63,226.42,-203.20
7.78,225.12,-198.03
7.93,226.44,-201.97
8.10,226.40,-201.14
8.27,227.75,-204.63
8.40,228.90,-206.40
8.57,229.33,-208.00
8.74,221.30,-209.79
8.89,213.02,-213.37
9.04,212.44,-214.29
9.20,212.61,-214.13
9.36,211.75,-215.25
9.51,211.07,-215.94
9.67,211.37,-215.41
9.82,211.69,-214.18
9.99,211.65,-213.80
10.13,211.74,-213.51
10.30,210.46,-213.74
10.47,208.90,-214.73
10.64,208.73,-215.12
10.78,204.68,-217.06
10.93,196.53,-219.70
11.10,185.25,-222.48
11.25,176.22,-224.07
11.41,168.78,-227.28
11.57,158.64,-229.64
11.74,149.88,-229.79
11.90,143.41,-230.00
12.06,142.08,-229.65
12.22,140.45,-222.23
12.38,140.39,-217.76
12.53,140.95,-210.45
12.69,141.35,-203.10
12.85,141.39,-190.07
