Time (s),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°)
0.00,-2.10,-2.30,-5.21
0.16,-1.96,-3.36,-5.51
0.32,-1.96,-3.36,-5.67
0.48,-2.05,-3.35,-5.63
0.64,-2.11,-3.35,-5.63
0.80,-2.11,-3.35,-5.60
0.96,4.73,-55.14,-3.75
1.12,27.60,-91.19,3.17
1.28,43.13,-93.97,-1.74
1.44,32.00,-92.02,-9.68
1.60,37.95,-93.52,-5.83
1.75,44.78,-94.36,-2.01
1.91,39.70,-94.37,-1.99
2.07,27.71,-93.99,1.08
2.23,96.50,-97.40,-3.08
2.38,99.20,-99.83,2.20
2.54,74.32,-98.80,16.64
2.70,23.20,-93.66,28.12
2.86,30.64,-89.77,14.84
3.01,31.63,-86.85,6.36
3.17,29.42,-85.31,1.11
3.33,15.22,-92.31,46.48
3.50,21.44,-89.62,29.60
3.64,16.72,-81.73,9.43
3.81,16.87,-81.10,1.84
3.97,8.95,-80.14,-5.27
4.13,-38.98,-73.67,-22.15
4.29,-21.22,-71.78,-19.10
4.45,-39.19,-74.38,-3.58
4.62,-30.46,-81.22,-5.36
4.77,5.46,-120.33,-4.74
4.93,41.88,-159.20,7.78
5.08,52.58,-168.64,7.35
5.25,46.91,-168.89,-3.52
5.40,41.54,-169.76,-9.44
5.56,28.53,-171.63,-15.11
5.71,17.45,-172.48,-18.13
5.87,7.50,-174.28,-15.18
6.03,2.79,-176.83,-8.90
6.20,-1.82,-178.78,-6.87
6.36,-3.80,179.96,-4.46
6.51,-2.56,179.80,1.52
6.67,-1.03,-179.52,6.55
6.82,3.00,-179.66,5.48
6.98,5.31,-178.96,3.11
7.13,6.52,-178.50,1.26
7.29,40.06,-157.88,46.68
7.46,-63.86,145.76,39.80
7.63,62.46,-144.17,14.09
7.78,-33.62,-160.35,47.67
7.93,17.55,-160.41,30.93
8.10,11.51,-162.97,23.95
8.27,43.34,157.63,44.28
8.40,50.69,122.44,61.02
8.57,5.97,94.61,70.59
8.74,40.40,94.67,13.44
8.89,86.29,92.58,28.51
9.04,72.45,92.60,47.20
9.20,62.59,92.99,56.44
9.36,85.74,89.65,43.59
9.51,97.50,91.27,35.78
9.67,93.05,99.51,34.77
9.82,65.99,101.57,34.29
9.99,54.60,96.16,28.66
10.13,48.04,95.21,22.48
10.30,49.90,91.93,21.89
10.47,59.76,91.43,33.77
10.64,41.02,90.19,54.68
10.78,38.63,95.28,41.90
10.93,46.59,104.29,11.26
11.10,45.75,102.91,0.56
11.25,13.83,109.16,-26.90
11.41,-28.07,110.20,-49.39
11.57,-17.36,106.35,-50.07
11.74,-16.69,90.25,-29.34
11.90,33.52,56.70,-37.59
12.06,19.69,25.23,-39.23
12.22,62.11,6.72,-8.60
12.38,50.40,4.51,-11.48
12.53,44.69,2.62,-23.38
12.69,20.37,1.63,-25.40
12.85,23.56,-1.28,-11.49
13.00,14.68,-0.80,-7.60
13.16,12.01,-2.84,0.31
13.32,4.89,-2.01,-0.09
13.48,4.70,-0.50,-0.22
13.63,1.59,-0.33,-1.13
13.79,-3.49,0.12,-2.23
13.95,8.15,-1.17,-22.46
14.11,14.00,8.77,-49.11
14.27,10.10,3.70,-21.41
14.42,13.93,-2.79,-4.08
14.58,11.78,-3.48,-2.67
14.75,-27.34,-3.26,3.01
14.90,-55.53,-6.34,8.74
15.06,-39.44,-5.13,1.28
15.23,-42.35,-8.32,-14.99
15.38,48.69,-31.31,-21.23
15.53,54.44,-59.63,12.85
15.69,38.40,-88.67,42.71
15.86,40.74,-83.03,9.14
16.02,48.06,-79.83,-5.62
16.16,42.29,-79.60,-5.86
16.32,35.62,-81.29,-5.13
16.48,22.76,-82.97,-6.96
16.65,11.58,-82.86,-7.98
16.82,6.07,-85.50,-10.44
16.96,-2.43,-86.74,-8.21
17.12,28.43,-99.23,-56.49
17.28,-14.52,-60.19,-78.45
17.44,21.05,-95.07,-36.06
17.59,15.77,-90.41,-29.09
17.76,70.57,-87.47,-50.13
17.92,69.14,-90.87,-33.04
18.08,27.07,-103.02,10.58
18.25,60.86,-90.18,-6.19
18.41,41.12,-98.81,-22.14
18.56,39.93,-97.32,-16.04
18.72,29.92,-95.69,-20.46
18.88,35.64,-109.30,-14.11
19.03,75.12,-148.80,11.41
19.19,71.60,-169.62,28.57
19.35,71.02,-171.09,29.47
19.51,70.98,-171.30,29.74
19.66,70.90,-171.40,29.86
19.82,70.90,-171.46,29.93
19.99,70.86,-171.50,29.98
20.14,70.74,-171.57,30.07
20.31,69.37,-172.10,30.79
20.46,69.17,-172.28,30.95
20.63,68.99,-172.35,31.07
20.78,68.88,-172.37,31.11
20.93,68.87,-172.96,31.51
21.09,68.93,-173.53,31.87
21.26,68.99,-173.54,31.87
21.41,69.00,-173.53,31.85
21.56,69.01,-173.54,31.86
21.72,69.01,-173.55,31.87
21.89,57.34,-176.76,37.21
22.04,38.60,-177.63,41.85
22.21,14.70,-179.07,44.69
22.35,1.76,176.84,44.56
22.52,-10.02,143.26,38.49
22.68,18.24,106.91,39.50
22.82,46.13,86.71,24.99
22.98,49.13,95.20,-17.98
23.14,33.36,96.19,-27.89
23.30,38.79,90.26,-14.43
23.45,28.30,89.76,-1.67
23.64,36.17,75.00,68.48
23.78,32.03,83.71,55.90
23.94,7.77,92.70,23.03
24.08,27.13,97.19,15.20
24.24,20.14,104.34,2.28
24.41,16.05,104.34,-1.35
24.56,8.18,103.79,-7.26
24.71,3.74,102.82,-8.22
24.87,2.73,101.57,-10.38
25.03,-6.00,100.71,-10.91
25.20,-11.29,98.93,-8.81
25.36,45.11,105.39,-36.45
25.51,-2.20,105.07,-36.39
25.67,-16.66,101.66,-37.50
25.84,3.38,88.95,-62.66
25.99,7.46,70.75,-47.46
26.15,34.62,43.60,17.58
26.31,26.96,0.43,67.11
26.47,35.86,0.67,51.29
26.63,37.67,0.43,37.83
26.78,52.50,6.70,16.13
26.94,44.81,11.47,1.07
27.10,41.74,11.86,-6.19
27.26,27.73,10.50,-12.97
27.41,14.86,9.48,-15.16
27.57,1.61,7.37,-16.02
27.74,-1.95,5.31,-11.05
27.90,-5.37,3.82,-6.87
28.05,-5.15,1.57,-4.00
28.21,-1.34,0.23,-0.60
28.37,2.98,-0.38,1.32
28.53,3.60,0.76,2.77
28.70,82.61,-10.30,-9.89
28.85,49.27,-12.78,-20.71
29.01,28.06,-9.40,19.99
29.17,-2.36,-4.42,48.78
29.33,-18.41,-2.03,25.76
29.48,-14.12,-7.63,-24.94
29.66,63.99,-36.63,-17.11
29.80,58.46,-70.96,14.75
29.97,26.01,-80.02,-14.85
30.11,33.70,-77.02,-33.05
30.28,35.98,-85.21,-17.11
30.43,29.75,-86.13,-3.72
30.59,18.07,-88.76,-5.78
30.74,12.85,-89.67,-2.22
30.90,3.22,-89.62,-3.28
31.06,2.59,-90.31,-2.12
31.22,3.47,-89.13,-1.90
31.37,5.54,-88.41,-0.55
31.53,20.11,-81.19,65.27
31.69,-16.73,-119.24,34.35
31.85,74.50,-67.93,14.49
32.00,29.94,-81.02,72.81
32.17,26.93,-84.70,73.94
32.35,42.36,-90.11,29.14
32.51,54.57,-103.09,-14.24
32.66,22.11,-104.70,-24.81
32.81,4.99,-104.11,4.89
32.97,-4.02,-101.83,28.66
33.14,-10.00,-113.46,33.86
33.30,26.25,-154.11,35.12
33.46,35.96,-177.76,36.64
33.61,45.08,-173.98,8.86
33.77,43.11,-168.54,-11.68
33.93,35.43,-169.81,-15.16
34.08,69.15,-170.43,-55.40
34.24,32.72,-140.48,-70.54
34.40,36.53,174.30,-51.10
34.56,16.43,168.33,3.09
34.73,40.34,171.54,-30.99
34.87,28.23,160.63,1.42
35.03,20.97,165.89,-7.27
35.19,15.14,164.21,5.88
35.34,7.62,161.99,9.99
35.50,1.05,163.84,9.78
35.66,-2.91,166.40,8.23
35.82,-3.52,168.12,4.02
35.97,-5.83,170.79,-0.91
36.14,42.26,160.39,-36.24
36.29,-62.63,156.98,-54.95
36.46,12.49,159.99,-8.65
36.64,36.80,140.75,-12.21
36.77,3.01,106.31,18.81
36.94,41.12,81.54,15.43
37.09,26.69,84.08,-32.60
37.25,6.18,80.00,-12.33
37.40,40.39,80.94,-12.00
37.56,41.88,80.06,-9.63
37.72,72.42,81.56,27.75
37.88,71.81,81.88,37.19
38.05,22.17,91.08,30.68
38.20,30.08,93.39,18.82
38.36,22.49,95.37,9.58
38.52,72.73,96.03,-5.65
38.67,47.36,101.71,-32.54
38.83,5.87,94.77,-40.60
38.99,-22.34,88.39,-15.10
39.16,-28.08,87.17,20.59
39.30,-13.87,84.17,26.87
39.47,-1.63,80.60,-8.49
39.64,-9.13,81.13,-39.10
39.79,-11.88,80.53,-23.39
39.95,5.28,80.84,14.30
40.09,7.02,85.84,30.56
40.26,-1.51,86.99,8.87
40.42,0.45,86.80,-22.62
40.58,9.15,84.41,-25.41
40.73,8.11,63.95,3.02
40.89,20.32,4.31,13.27
41.06,44.90,2.19,-2.32
41.21,31.10,3.65,-16.84
41.39,44.38,2.45,-12.65
41.53,44.92,-0.16,-4.71
41.69,39.16,-1.32,-1.47
41.85,-1.15,-1.66,0.21
42.00,-45.24,-2.22,4.02
42.16,-47.61,-3.22,4.02
42.32,-40.00,-1.96,-0.63
42.49,-39.63,-0.34,-6.37
