Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
0.00,0.09,2.61,2.62
0.16,0.01,0.18,0.18
0.32,0.02,0.29,0.29
0.48,0.02,0.27,0.27
0.64,0.01,0.24,0.24
0.80,0.01,0.20,0.20
0.96,9.72,7.06,12.02
1.12,22.99,-0.83,23.00
1.28,10.29,-3.33,10.81
1.44,26.06,-2.31,26.16
1.60,45.91,-3.51,46.04
1.75,63.53,-5.69,63.78
1.91,78.14,-6.58,78.41
2.07,107.94,-6.58,108.14
2.23,24.18,-6.52,25.04
2.38,19.03,0.13,19.03
2.54,6.57,1.39,6.72
2.70,27.03,-0.02,27.03
2.86,83.29,4.87,83.43
3.01,88.43,5.74,88.62
3.17,88.08,6.46,88.32
3.33,64.28,2.23,64.32
3.50,77.80,8.22,78.24
3.64,103.83,17.49,105.30
3.81,110.28,17.33,111.64
3.97,65.83,10.40,66.64
4.13,43.56,23.42,49.46
4.29,47.96,14.03,49.97
4.45,45.62,12.91,47.42
4.62,84.16,12.95,85.15
4.77,46.17,-27.54,53.76
4.93,18.73,-44.31,48.10
5.08,6.68,-35.44,36.07
5.25,6.97,-56.10,56.54
5.40,6.60,-61.99,62.34
5.56,5.12,-64.09,64.30
5.71,10.95,-110.83,111.37
5.87,10.27,-117.27,117.72
6.03,4.67,-88.88,89.00
6.20,1.86,-78.09,78.11
6.36,0.06,-99.29,99.29
6.51,-0.54,-102.30,102.30
6.67,0.58,-82.34,82.34
6.82,0.83,-97.75,97.75
6.98,1.59,-80.17,80.18
7.13,2.60,-97.74,97.77
7.29,15.19,3.98,15.70
7.46,-68.12,-85.81,109.56
7.63,59.27,-24.51,64.13
7.78,-4.67,17.12,17.74
7.93,2.04,2.61,3.32
8.10,6.59,-14.73,16.14
8.27,8.87,-20.70,22.52
8.40,4.15,-4.57,6.18
8.57,-11.20,-20.20,23.10
8.74,-64.38,-3.75,64.49
8.89,-15.39,-22.28,27.08
9.04,1.26,3.27,3.50
9.20,-1.37,-2.77,3.09
9.36,-8.34,-10.25,13.21
9.51,-1.12,-0.91,1.44
9.67,1.27,5.23,5.38
9.82,4.48,7.37,8.62
9.99,-2.06,-0.30,2.08
10.13,2.46,1.84,3.07
10.30,-17.83,-5.04,18.53
10.47,0.84,-3.24,3.35
10.64,-12.02,-7.04,13.93
10.78,-34.30,-14.63,37.29
10.93,-75.41,-23.65,79.04
11.10,-58.83,-8.32,59.42
11.25,-41.62,-14.01,43.91
11.41,-43.22,-19.90,47.58
11.57,-58.36,-1.34,58.38
11.74,-103.43,-12.21,104.15
11.90,-1.62,-16.10,16.18
12.06,-22.37,40.36,46.14
12.22,-10.34,32.49,34.10
12.38,5.47,36.17,36.59
12.53,4.82,65.98,66.16
12.69,1.09,49.80,49.81
12.85,4.57,93.33,93.44
13.00,1.29,79.11,79.12
13.16,5.07,98.35,98.48
13.32,4.03,110.41,110.49
13.48,0.74,90.44,90.45
13.63,0.63,100.35,100.35
13.79,-0.34,100.82,100.82
13.95,3.93,93.81,93.89
14.11,-3.54,66.13,66.23
14.27,-3.47,90.30,90.36
14.42,4.20,79.98,80.09
14.58,5.49,83.91,84.09
14.75,4.69,33.79,34.12
14.90,15.02,77.75,79.19
15.06,1.01,44.69,44.70
15.23,-1.48,57.56,57.58
15.38,14.08,19.30,23.89
15.53,8.57,8.53,12.09
15.69,10.19,2.92,10.60
15.86,57.62,4.43,57.79
16.02,46.67,4.69,46.91
16.16,81.64,13.46,82.74
16.32,69.21,8.46,69.73
16.48,100.88,10.05,101.38
16.65,105.32,11.88,105.99
16.82,106.36,7.47,106.62
16.96,82.78,4.89,82.92
17.12,7.72,9.47,12.22
17.28,86.04,30.90,91.42
17.44,-9.18,1.42,9.29
17.59,91.99,-7.87,92.32
17.76,1.76,-8.90,9.08
17.92,19.69,6.73,20.81
18.08,26.79,-3.58,27.03
18.25,24.24,-8.74,25.77
18.41,-0.96,1.08,1.45
18.56,-1.36,0.76,1.56
18.72,-6.95,0.64,6.98
18.88,16.82,-7.03,18.23
19.03,7.90,-15.48,17.38
19.19,0.47,0.69,0.83
19.35,0.38,-0.09,0.39
19.51,0.26,-0.14,0.29
19.66,0.19,-0.11,0.22
19.82,0.15,-0.09,0.18
19.99,0.12,-0.07,0.14
20.14,0.10,-0.07,0.12
20.31,0.09,-0.06,0.10
20.46,0.08,-0.06,0.09
20.63,0.04,0.00,0.04
20.78,0.06,-0.04,0.07
20.93,0.11,-0.20,0.23
21.09,-0.01,0.05,0.05
21.26,0.00,0.02,0.02
21.41,-0.01,0.02,0.02
21.56,-0.01,0.04,0.04
21.72,-0.01,0.04,0.04
21.89,-2.73,6.22,6.79
22.04,-5.17,16.21,17.01
22.21,-0.42,4.66,4.68
22.35,2.09,22.73,22.83
22.52,-8.67,-8.24,11.96
22.68,-34.88,-17.06,38.83
22.82,-34.90,3.25,35.05
22.98,-26.49,7.03,27.40
23.14,-47.99,-0.21,48.00
23.30,-85.40,4.97,85.54
23.45,-86.22,-22.32,89.07
23.64,-35.78,11.29,37.52
23.78,-45.08,-1.36,45.10
23.94,-81.02,-6.63,81.29
24.08,-61.75,-10.07,62.57
24.24,-80.69,-21.44,83.49
24.41,-80.97,-19.69,83.33
24.56,-75.27,-17.31,77.24
24.71,-81.13,-18.17,83.14
24.87,-107.72,-21.63,109.87
25.03,-83.57,-16.68,85.22
25.20,-77.58,-12.59,78.59
25.36,-38.21,-9.60,39.40
25.51,-31.83,-10.16,33.41
